top_route_day_share,captured_burden_share,captured_positive_excess_arr15
0.01,0.10546135198576866,15908.807199038385
0.02,0.17904363612918214,27008.668424602707
0.03,0.24091035291255414,36341.24050728369
0.04,0.2949541069657423,44493.72146220679
0.05,0.3434042480765487,51802.40790690583
0.060000000000000005,0.38748835361774475,58452.47944867393
0.06999999999999999,0.42787768992401176,64545.19637382989
0.08,0.4651558173770627,70168.58855708006
0.09,0.499778670032601,75391.43348753384
0.09999999999999999,0.5321579731525911,80275.83977358881
0.1,0.5321579731525911,80275.83977358881
0.11,0.5623399600123965,84828.78168828519
0.12,0.590392112092733,89060.43878883515
0.13,0.616846008187787,93050.99954607255
0.14,0.6417409116002312,96806.38681515194
0.15000000000000002,0.6653515848865179,100368.04842936783
0.16,0.6875567305121428,103717.68669905649
0.17,0.7085744118262316,106888.19640238165
0.18000000000000002,0.7281880465847459,109846.9061853519
0.19,0.7466985693645148,112639.2119211677
0.2,0.764343955638747,115301.01212478352
0.21000000000000002,0.7809993399666066,117813.47088914263
0.22,0.7967865335130241,120194.96338487462
0.23,0.8118549314264053,122468.0258166432
0.24000000000000002,0.8260946805206537,124616.08687064571
0.25,0.839402893012459,126623.62596159661
0.26,0.8520542803480411,128532.08321283014
0.27,0.8640772875370073,130345.74954386416
0.28,0.8749205856053275,131981.45717630463
0.29000000000000004,0.8849880602737946,133500.13212656943
0.3,0.8946039429720083,134950.68458976081
0.31,0.9040561890928869,136376.552533832
0.32,0.9132479373981978,137763.12447566536
0.33,0.9220841379961733,139096.06217310915
0.34,0.9304733440215461,140361.5708992696
0.35000000000000003,0.9382779047283704,141538.88608839037
0.36000000000000004,0.9455771402449241,142639.973153431
0.37,0.9523655099487043,143663.99629347006
0.38,0.9588455879914961,144641.51374679655
0.39,0.9649872783715323,145567.9855423162
0.4,0.970508137472541,146400.80516161007
0.41000000000000003,0.975542486411183,147160.23489704856
0.42000000000000004,0.9801715066781873,147858.5209474507
0.43,0.9843880282941578,148494.58172399097
0.44,0.988063181525631,149048.97727350297
0.45,0.9914256888664548,149556.21030231655
0.46,0.9942848333648668,149987.5112265221
0.47000000000000003,0.9963514228912334,150299.25551687554
0.48000000000000004,0.9979416470725023,150539.1402654275
0.49,0.9990664321614285,150708.8136934952
0.5,0.999672486275865,150800.23673973166
0.51,0.9999999999995686,150849.64206772464
0.52,0.9999999999995686,150849.64206772464
0.53,0.9999999999995686,150849.64206772464
0.54,0.9999999999995686,150849.64206772464
0.55,0.9999999999995686,150849.64206772464
0.56,0.9999999999995686,150849.64206772464
0.5700000000000001,0.9999999999995686,150849.64206772464
0.5800000000000001,0.9999999999995686,150849.64206772464
0.59,0.9999999999995686,150849.64206772464
0.6,0.9999999999995686,150849.64206772464
0.61,0.9999999999995686,150849.64206772464
0.62,0.9999999999995686,150849.64206772464
0.63,0.9999999999995686,150849.64206772464
0.64,0.9999999999995686,150849.64206772464
0.65,0.9999999999995686,150849.64206772464
0.66,0.9999999999995686,150849.64206772464
0.67,0.9999999999995686,150849.64206772464
0.68,0.9999999999995686,150849.64206772464
0.6900000000000001,0.9999999999995686,150849.64206772464
0.7000000000000001,0.9999999999995686,150849.64206772464
0.7100000000000001,0.9999999999995686,150849.64206772464
0.72,0.9999999999995686,150849.64206772464
0.73,0.9999999999995686,150849.64206772464
0.74,0.9999999999995686,150849.64206772464
0.75,0.9999999999995686,150849.64206772464
0.76,0.9999999999995686,150849.64206772464
0.77,0.9999999999995686,150849.64206772464
0.78,0.9999999999995686,150849.64206772464
0.79,0.9999999999995686,150849.64206772464
0.8,0.9999999999995686,150849.64206772464
0.81,0.9999999999995686,150849.64206772464
0.8200000000000001,0.9999999999995686,150849.64206772464
0.8300000000000001,0.9999999999995686,150849.64206772464
0.8400000000000001,0.9999999999995686,150849.64206772464
0.85,0.9999999999995686,150849.64206772464
0.86,0.9999999999995686,150849.64206772464
0.87,0.9999999999995686,150849.64206772464
0.88,0.9999999999995686,150849.64206772464
0.89,0.9999999999995686,150849.64206772464
0.9,0.9999999999995686,150849.64206772464
0.91,0.9999999999995686,150849.64206772464
0.92,0.9999999999995686,150849.64206772464
0.93,0.9999999999995686,150849.64206772464
0.9400000000000001,0.9999999999995686,150849.64206772464
0.9500000000000001,0.9999999999995686,150849.64206772464
0.9600000000000001,0.9999999999995686,150849.64206772464
0.97,0.9999999999995686,150849.64206772464
0.98,0.9999999999995686,150849.64206772464
0.99,0.9999999999995686,150849.64206772464
1.0,0.9999999999995686,150849.64206772464
