origin_climate_group,weather_intensity_bin,normal_route_days,high_workload_route_days,normal_arr15_rate,high_workload_arr15_rate,gap_high_minus_normal,weather_bin_order
Cold/snowbelt,W1 mild,15606,6832,0.17404193391904274,0.24962769168846852,0.07558575776942578,1
Cold/snowbelt,W2 moderate,15884,5956,0.20488725264611138,0.2820729506886234,0.07718569804251205,2
Cold/snowbelt,W3 severe,16228,5050,0.23509040898227893,0.2916938663602893,0.0566034573780104,3
Cold/snowbelt,W4 extreme,19550,4421,0.321693016574079,0.3709352361239719,0.049242219549892885,4
Pacific low-cloud,W1 mild,15694,6900,0.1514493031092051,0.2219312275089964,0.07048192439979131,1
Pacific low-cloud,W2 moderate,23175,8641,0.16054610682130896,0.22508974931821332,0.06454364249690436,2
Pacific low-cloud,W3 severe,30794,10453,0.18748943827614398,0.23600599947332868,0.0485165611971847,3
Pacific low-cloud,W4 extreme,31830,8944,0.23148746556005306,0.28519838095930583,0.05371091539925277,4
Western dry / high-altitude,W1 mild,20812,8430,0.18197972930260653,0.24789104104811727,0.06591131174551074,1
Western dry / high-altitude,W2 moderate,18725,7427,0.200760885534669,0.2687545647410705,0.06799367920640151,2
Western dry / high-altitude,W3 severe,17813,5768,0.22670955444365024,0.2870641695332739,0.06035461508962367,3
Western dry / high-altitude,W4 extreme,16467,3673,0.29752180774500114,0.33577384584095993,0.038252038095958785,4
Humid subtropical / thunderstorm,W1 mild,35303,14730,0.2006311094239347,0.2819696023318759,0.0813384929079412,1
Humid subtropical / thunderstorm,W2 moderate,34936,14031,0.2352518056017694,0.30568018664752333,0.07042838104575394,2
Humid subtropical / thunderstorm,W3 severe,34714,11565,0.26495625617798496,0.34836942449474645,0.08341316831676149,3
Humid subtropical / thunderstorm,W4 extreme,38274,8989,0.3003488989237208,0.3678158998612898,0.06746700093756902,4
Tropical / Florida,W1 mild,17418,4590,0.23074302236710037,0.255429403202329,0.024686380835228616,1
Tropical / Florida,W2 moderate,15246,4277,0.26271274820624063,0.290892064372919,0.028179316166678348,2
Tropical / Florida,W3 severe,11877,4298,0.2916241906598705,0.3328477045570049,0.04122351389713441,3
Tropical / Florida,W4 extreme,8116,3934,0.31077798186881556,0.40095388482485256,0.090175902956037,4
Northeast dense metro,W1 mild,19687,8184,0.1917257035500411,0.2277215758036115,0.0359958722535704,1
Northeast dense metro,W2 moderate,18477,7411,0.22495487557635224,0.26670287887017924,0.041748003293826996,2
Northeast dense metro,W3 severe,18875,6750,0.2597798844938433,0.2909211824773673,0.031141297983523997,3
Northeast dense metro,W4 extreme,23677,6311,0.33332228116710877,0.32695724887634575,-0.0063650322907630175,4
