origin,origin_climate_group,route_days,destinations,flights,arr15_delayed,arr15_obs,cancelled_flights,joint_pressure_share,flight_weighted_arr15_rate,flight_weighted_cancel_rate
DEN,Western dry / high-altitude,30613,42,330324,81151.0,326502,3072.0,0.16953581811648646,0.24854671640602508,0.009299960039234206
ATL,Humid subtropical / thunderstorm,30101,42,345884,82364.0,340556,4458.0,0.17238629945848974,0.24185156038948072,0.012888714135374865
DFW,Humid subtropical / thunderstorm,29929,41,296875,85554.0,289528,6574.0,0.1490527581943934,0.29549473626039624,0.022144
LAS,Western dry / high-altitude,29292,42,262063,55822.0,259078,2315.0,0.14809504301515772,0.21546406873605634,0.008833753715709582
ORD,Cold/snowbelt,29057,40,320133,78654.0,314648,4591.0,0.17025157449151668,0.24997457476290966,0.014340914557387086
PHX,Western dry / high-altitude,28422,41,252036,49211.0,249672,1822.0,0.14629512349588347,0.1971025986093755,0.00722912599787332
SLC,Western dry / high-altitude,27796,39,152108,28474.0,150744,996.0,0.1693768887609728,0.18888977339064905,0.006547979067504667
SEA,Pacific low-cloud,27791,40,223577,47713.0,220877,2137.0,0.17786333705156346,0.2160161537869493,0.009558228261404348
BNA,Humid subtropical / thunderstorm,27612,41,157693,33080.0,155048,2256.0,0.1761552947993626,0.213353284144265,0.014306278655362001
LAX,Pacific low-cloud,27466,41,306663,56533.0,303445,2433.0,0.23148620112138643,0.1863039430539307,0.007933790512712651
MSP,Cold/snowbelt,27448,39,141220,28400.0,139595,1239.0,0.1867167006703585,0.20344568215193953,0.008773544823679365
CLT,Humid subtropical / thunderstorm,27081,39,207504,53881.0,203950,3087.0,0.17133783833684132,0.2641873008090218,0.014876821651630812
IAH,Humid subtropical / thunderstorm,26797,39,183979,41953.0,180493,2997.0,0.1689741388961451,0.23243560692104404,0.0162899026519331
AUS,Humid subtropical / thunderstorm,26484,37,140366,30550.0,138596,1473.0,0.18890650959069627,0.2204248318854801,0.010493994272117179
DTW,Cold/snowbelt,25998,41,163579,33801.0,161316,1912.0,0.18036002769443804,0.20953284237149447,0.011688541927753562
SFO,Pacific low-cloud,25565,35,215025,45766.0,212315,2189.0,0.24482691179346763,0.21555707321668277,0.010180211603301941
SAN,Pacific low-cloud,25522,36,165135,36472.0,162747,1995.0,0.20229605830264086,0.22410244121243403,0.012081024616223091
MCO,Tropical / Florida,25279,38,221907,53882.0,217891,3463.0,0.1784880731041576,0.24728878200568175,0.015605636595510732
MIA,Tropical / Florida,25127,37,173454,46773.0,170188,2673.0,0.1678672344489991,0.2748313629633112,0.015410425818949117
BOS,Cold/snowbelt,25077,36,226160,49578.0,221931,3640.0,0.18132152968855925,0.22339375751922894,0.016094800141492747
TPA,Tropical / Florida,24157,35,125749,27530.0,123018,2405.0,0.17936829904375542,0.22378838869108586,0.019125400599607153
FLL,Tropical / Florida,23921,35,134355,33241.0,131859,2074.0,0.16872204339283475,0.2520950409149167,0.015436716162405568
DCA,Northeast dense metro,23624,34,159355,35120.0,155285,3709.0,0.18752116491703352,0.22616479376630066,0.02327507765680399
JFK,Northeast dense metro,23459,36,169744,37892.0,166350,2964.0,0.17984568822200434,0.22778479110309588,0.0174615892167028
BWI,Northeast dense metro,23236,36,120908,27632.0,118945,1686.0,0.1806248924083319,0.23230905040144606,0.013944486717173387
EWR,Northeast dense metro,23180,35,177816,42871.0,173347,4014.0,0.1857204486626402,0.2473131926136593,0.02257389661222837
MSY,Humid subtropical / thunderstorm,22821,35,91717,19369.0,89986,1505.0,0.18158713465667586,0.2152445936034494,0.016409171691180478
IAD,Northeast dense metro,22582,35,87050,17312.0,85817,1029.0,0.19063856168629884,0.2017315916426815,0.011820792647903504
RDU,Humid subtropical / thunderstorm,21391,31,108246,22197.0,106267,1767.0,0.1856388200645131,0.20887952045319808,0.016323928828778894
PHL,Northeast dense metro,21331,35,139252,32522.0,136480,2402.0,0.17959776850593034,0.23829132473622508,0.017249303421135783
PDX,Pacific low-cloud,21101,35,103168,17653.0,101928,1031.0,0.18188711435476992,0.1731908798367475,0.009993408808933003
SAT,Humid subtropical / thunderstorm,20136,30,72256,12929.0,71207,866.0,0.17088796185935637,0.18156922774446332,0.011985163861824624
HOU,Humid subtropical / thunderstorm,18693,31,66355,13624.0,65413,812.0,0.18424008987321458,0.20827664225765521,0.012237208951849899
SMF,Western dry / high-altitude,17735,28,88854,15315.0,88060,607.0,0.14017479560191712,0.17391551215080628,0.006831431336799694
LGA,Northeast dense metro,16150,28,184855,41571.0,179735,4533.0,0.20860681114551083,0.23129051103012768,0.024521922587974358
SNA,Pacific low-cloud,15192,23,84386,14699.0,83310,831.0,0.209913112164297,0.17643740247269235,0.009847605052970871
CHS,Humid subtropical / thunderstorm,14770,24,48003,9265.0,46927,952.0,0.21699390656736628,0.19743431286892407,0.019832093827469116
BUF,Cold/snowbelt,14158,28,40660,8028.0,39698,885.0,0.20843339454725243,0.20222681243387577,0.02176586325627152
SJC,Pacific low-cloud,13153,22,77293,12403.0,76651,510.0,0.20261537291872578,0.16181132666240491,0.006598268924740921
ABQ,Western dry / high-altitude,13098,26,42968,7174.0,42479,379.0,0.19430447396549091,0.16888344829209728,0.008820517594488922
BOI,Western dry / high-altitude,12065,18,44050,7077.0,43725,233.0,0.15524243680066308,0.161852487135506,0.0052894438138479
BHM,Humid subtropical / thunderstorm,11545,21,31024,5764.0,30443,503.0,0.2100476396708532,0.18933745031698584,0.0162132542547705
OAK,Pacific low-cloud,10269,20,49286,8789.0,48906,322.0,0.24569091440257085,0.17971210076473235,0.006533295459156758
