month_id,route_days,flights,arr15_delayed,arr15_obs,cancelled_flights,joint_pressure_share,flight_weighted_arr15_rate,flight_weighted_cancel_rate
2024-01,40862,263728,60990.0,253388,9772.0,0.05486760315207283,0.24069805989233903,0.03705332767093369
2024-02,38154,250357,41617.0,248764,1208.0,0.04924778529118834,0.16729510700905276,0.004825109743286587
2024-03,41241,283374,63557.0,280572,2290.0,0.11158798283261803,0.22652652438589738,0.008081193052291318
2024-04,40136,281367,57287.0,279070,1784.0,0.13773171217859279,0.205278245601462,0.006340473474145867
2024-05,41742,296488,81629.0,291608,3745.0,0.20459010109721623,0.2799271624921127,0.012631202611910095
2024-06,40836,287918,75921.0,282875,4040.0,0.2940297776471741,0.2683906319045515,0.014031772935349648
2024-07,42259,297856,90813.0,286827,9920.0,0.3648216947869093,0.31661245280256045,0.03330468414267297
2024-08,41810,293485,72594.0,285735,6660.0,0.2629753647452763,0.25406058060790593,0.02269281223912636
2024-09,40050,279132,45495.0,277129,1572.0,0.21568039950062423,0.16416542476608367,0.005631744121061003
2024-10,41590,295150,40907.0,291854,2973.0,0.1932195239240202,0.14016254702693812,0.010072844316449264
2024-11,39834,277109,41767.0,275853,933.0,0.21341065421499222,0.15141035261534222,0.00336690616327871
2024-12,41058,281588,59019.0,279373,1619.0,0.12932924156071898,0.2112552036166702,0.005749534781311703
2025-01,40110,261622,46078.0,254253,6918.0,0.02824731987035652,0.18122893338525012,0.026442730351423045
2025-02,36324,244363,49287.0,241259,2742.0,0.07433102081268583,0.20429082438375357,0.011221011364240904
2025-03,40956,288248,56515.0,285232,2355.0,0.1466207637464596,0.1981369551803444,0.008170048014209987
2025-04,40089,282456,56817.0,279922,1905.0,0.1565017835316421,0.20297440001143174,0.006744413289149461
2025-05,41645,291994,72529.0,288544,2622.0,0.22617361027734423,0.2513620106465565,0.008979636567874682
2025-06,40766,287309,81920.0,281691,4468.0,0.323185988323603,0.29081511301390534,0.015551200971776032
2025-07,42243,295069,86997.0,285767,7721.0,0.31020524110503517,0.3044333320502367,0.02616676099488594
2025-08,41754,282542,65563.0,278629,2887.0,0.1939454902524309,0.23530572912367342,0.010217949897714322
2025-09,40048,268207,47673.0,266107,1459.0,0.11466240511386336,0.17914974051791197,0.0054398281924036285
2025-10,41523,290407,62942.0,288198,1727.0,0.2009488717096549,0.21839846216837036,0.0059468263506044965
2025-11,40045,274555,58588.0,268101,6031.0,0.18629042327381695,0.21852958400005967,0.021966454808690427
2025-12,41149,278711,73084.0,274205,3990.0,0.13526452647694961,0.26653051549023543,0.014315904287954189
