origin,origin_climate_group,route_days,flights,positive_excess_arr15,burden_share
ATL,Humid subtropical / thunderstorm,5189,64385,8896.633596849442,0.05897682934409231
DFW,Humid subtropical / thunderstorm,4461,48122,8595.056024945998,0.05697763618877863
ORD,Cold/snowbelt,4947,59899,8526.352093904983,0.05652218975815243
DEN,Western dry / high-altitude,5190,59494,8481.902163308498,0.05622752594598037
CLT,Humid subtropical / thunderstorm,4640,38902,6250.595954259907,0.04143593493878479
MCO,Tropical / Florida,4512,43689,5674.4576377303365,0.0376166463502798
LAS,Western dry / high-altitude,4338,44293,5102.6917538097005,0.033826343131239396
IAH,Humid subtropical / thunderstorm,4528,33237,4937.651182260975,0.032732269792473644
BOS,Cold/snowbelt,4547,44760,4703.195933034989,0.031178038400127187
SAN,Pacific low-cloud,5163,37182,4534.954773106021,0.030062747984964232
SEA,Pacific low-cloud,4943,44944,4524.536876684651,0.029993686525629195
MIA,Tropical / Florida,4218,31514,4444.576563814536,0.029463620217389748
LAX,Pacific low-cloud,6358,76540,4413.341997626842,0.02925656260850489
AUS,Humid subtropical / thunderstorm,5003,29283,4000.3610613946944,0.026518863462712018
FLL,Tropical / Florida,4036,26332,3909.563213651842,0.025916953862541742
EWR,Northeast dense metro,4305,35274,3876.4547411350263,0.02569747390844323
SFO,Pacific low-cloud,6259,59078,3760.727151108653,0.02493030211777788
BNA,Humid subtropical / thunderstorm,4864,29746,3738.6978366667227,0.024784267204204596
PHL,Northeast dense metro,3831,27400,3614.7472103741397,0.023962583940038275
DCA,Northeast dense metro,4430,30315,3459.8194983860312,0.022935549935420046
BWI,Northeast dense metro,4197,23843,3415.275632064577,0.02264026341229103
LGA,Northeast dense metro,3369,41174,3225.4727153864737,0.02138203757843185
TPA,Tropical / Florida,4333,24944,3209.164968151731,0.0212739316060795
MSP,Cold/snowbelt,5125,28227,3126.522069067237,0.020726082118658406
JFK,Northeast dense metro,4219,33068,3111.5207967755464,0.02062663692219616
PHX,Western dry / high-altitude,4158,41413,3101.3242040918503,0.02055904251133827
DTW,Cold/snowbelt,4689,31280,3034.4847082741894,0.02011595564085286
SLC,Western dry / high-altitude,4708,26897,2503.720676172964,0.016597458514670038
RDU,Humid subtropical / thunderstorm,3971,22221,2405.653078529542,0.015947356888314494
IAD,Northeast dense metro,4305,18764,2154.8664819572587,0.0142848630757035
MSY,Humid subtropical / thunderstorm,4144,18675,2147.043305033722,0.014233002316763011
HOU,Humid subtropical / thunderstorm,3444,12802,1918.610936458679,0.01271869730785627
SNA,Pacific low-cloud,3189,19541,1538.5882540465482,0.010199482298772232
PDX,Pacific low-cloud,3838,20835,1447.6387862211407,0.00959656759126145
CHS,Humid subtropical / thunderstorm,3205,11000,1377.3186319543586,0.009130407026987912
SAT,Humid subtropical / thunderstorm,3441,12537,1354.6263697786715,0.008979977355000427
SJC,Pacific low-cloud,2665,17754,1156.239003604515,0.00766484419687862
SMF,Western dry / high-altitude,2486,13302,1110.66297788427,0.007362715367830662
BUF,Cold/snowbelt,2951,8828,958.6100875648084,0.006354738893805412
OAK,Pacific low-cloud,2523,13014,880.2353416511797,0.005835183495202556
BHM,Humid subtropical / thunderstorm,2425,6699,841.5445230231297,0.0055786975128847265
ABQ,Western dry / high-altitude,2545,8107,787.0045360577802,0.005217145531602332
BOI,Western dry / high-altitude,1873,7164,597.1967199855484,0.003958887219083865
