weather_intensity_bin,workload_bin,selected_route_days,selected_flights,observed_positive_excess,mean_observed_positive_excess,collapse_window_share,mean_arr15_rate,mean_workload_percentile,mean_weather_score,selected_excess_share
W4 extreme,P75-90,1181,17514,2903.013686278299,2.458097956205164,0.4995766299745978,0.4326440729399015,0.8245910222387992,42.96672311600339,0.1420281905791508
W2 moderate,P90-100,1229,16912,2688.88651695323,2.1878653514672335,0.5248169243287225,0.3881209769427954,0.9544962761534685,9.78320585842148,0.13155214819711725
W1 mild,P90-100,1220,17470,2580.5941890228414,2.1152411385433125,0.5172131147540984,0.34163063994660686,0.9564884169451235,3.775409836065574,0.1262540114841363
W2 moderate,P75-90,1275,18772,2554.4729131275835,2.003508167158889,0.4619607843137255,0.3416358659278626,0.8273050615595076,9.886196078431372,0.124976043843626
W3 severe,P90-100,1126,15422,2430.6104182306926,2.158623817256388,0.5159857904085258,0.3877063470864395,0.9560263198178607,19.67241563055062,0.11891614611941724
W3 severe,P75-90,1193,17710,2422.14699828058,2.0302992441580723,0.4853310980720872,0.35929220959103125,0.8302002217678822,19.906119027661358,0.11850207841201797
W1 mild,P75-90,1156,17203,2383.083794134313,2.0614911713964643,0.5129757785467128,0.32914128458229963,0.8274387126702294,4.033391003460208,0.11659093475143432
W4 extreme,P90-100,840,11878,2284.4694876501467,2.719606532916841,0.5607142857142857,0.47066255452367145,0.9555476841899551,41.34021428571428,0.11176628939017878
W4 extreme,P50-75,57,927,61.44749299584582,1.0780261929095758,0.24561403508771928,0.3051565628901736,0.7455660354717163,40.94,0.0030062814677989016
W3 severe,P50-75,43,674,48.414113772310074,1.1259096226118621,0.23255813953488372,0.2815743156372431,0.7455381287182261,20.05348837209302,0.002368631264150078
W2 moderate,P50-75,45,606,44.66474533332024,0.9925498962960053,0.2222222222222222,0.23351214240791124,0.7478340173278614,10.044444444444444,0.002185195678668222
W1 mild,P50-75,49,745,37.89620254401219,0.77339188865331,0.2653061224489796,0.2114187942997098,0.7474245512158352,3.5306122448979593,0.0018540488123041812
